,neighborhood,latitude,longitude,name,categories
2859,Catete,-22931555,-43178719,Rotisseria SÃ­rio Libaneza,Various Restaurants
2860,Laranjeiras,-22931121,-43180449,Villa 25 Restobar,Various Restaurants
2861,Laranjeiras,-22932381,-43182565,Brownie do Luiz,Various Restaurants
2862,Glória,-22921405,-43184875,Explorer Bar,Various Restaurants
2863,Flamengo,-22933188,-43176625,Tacaca do Norte,Various Restaurants
2864,Laranjeiras,-22931326,-43181662,Vossa MercÃª,Various Restaurants
2865,Catete,-22932465,-43177737,Bar do Elias,Various Restaurants
2866,Flamengo,-22933574,-43176383,Churrascaria MajÃ³rica,Various Restaurants
2867,Catete,-22930215,-43177871,Le DÃ©panneur,Various Restaurants
2868,Flamengo,-22928594,-43176829,Bartman,Various Restaurants
2869,Catete,-22925873,-43176764,BerbigÃ£o,Various Restaurants
2870,Catete,-22928031,-43171635,Quiosque Zeronove,Various Restaurants
2871,Flamengo,-22934659,-4317735,Bonomia Lanches,Various Restaurants
2872,Laranjeiras,-22931209,-43181282,Baixo Gago,Various Restaurants
2873,Flamengo,-22933896,-43177457,CafÃ© Lamas,Various Restaurants
2874,Catete,-22927928,-4317951,PÃ£o FrancÃªs & Cia.,Various Restaurants
2875,Catete,-22921257,-43180481,Boteco PÃ© de Santa,Various Restaurants
2876,Catete,-22921073,-43186812,Favela Hype,Various Restaurants
2877,Catete,-22934701,-43176912,Balaio,Various Restaurants
2878,Laranjeiras,-22933354,-43184219,PÃ£o & Companhia,Various Restaurants
2879,Catete,-22921272,-4318644,Simples Mente,Various Restaurants
2880,Flamengo,-22930134,-43175987,Padaria Artesanal Artigrano,Various Restaurants
2881,Flamengo,-22926654,-43174587,AssociaÃ§Ã£o Brasileira de Sommeliers/rj,Various Restaurants
2882,Flamengo,-22934303,-4318029,Salvatore CafÃ©,Various Restaurants
2883,Glória,-22928055,-43171609,Quiosque Zero Nove,Various Restaurants
2884,Flamengo,-22932923,-4317712,Brou,Various Restaurants
2885,Flamengo,-22925886,-43177731,Cariocando Bar,Various Restaurants
2886,Flamengo,-22928024,-4317945,Cafe e Bar Selo de Ouro Ltda,Various Restaurants
2887,Flamengo,-22934701,-43175594,Frutos de Goias Flamengo,Various Restaurants
2888,Laranjeiras,-22933902,-43182476,Severyna de Laranjeiras,Various Restaurants
2889,Laranjeiras,-22933697,-43180463,Pizzaria Zona Sul,Various Restaurants
2890,Flamengo,-22933155,-43176687,Restaurante Planalto do Chopp,Various Restaurants
2891,Catete,-22924514,-43176669,ButecÃ£o,Various Restaurants
2892,Glória,-22920444,-43176133,Taberna da GlÃ³ria,Various Restaurants
2893,Glória,-2292176,-43176666,Amarelinho da GlÃ³ria,Various Restaurants
2894,Catete,-22928621,-43177018,Catete Grill,Various Restaurants
2895,Copacabana,-22972215,-43186777,Barraca da Chiquita,Various Restaurants
